407080,7,Positive
406960,7,Positive
402290,7,Positive
406950,6,Mostly Positive
496102,7,Positive
496104,7,Positive
496103,7,Positive
393480,7,Positive
556150,0,7 user reviews
224540,5,Mixed
29650,0,1 user reviews
108710,8,Very Positive
202750,6,Mostly Positive
34010,8,Very Positive
41300,9,Overwhelmingly Positive
57300,9,Overwhelmingly Positive
91200,8,Very Positive
1902490,0,No user reviews
346110,8,Very Positive
407530,6,Mostly Positive
33910,5,Mixed
33930,8,Very Positive
219540,0,No user reviews
507490,8,Very Positive
244210,8,Very Positive
1493170,8,Very Positive
12900,9,Overwhelmingly Positive
112100,8,Very Positive
207670,5,Mixed
34900,8,Very Positive
35140,9,Overwhelmingly Positive
200260,9,Overwhelmingly Positive
238460,9,Overwhelmingly Positive
203750,8,Very Positive
409720,5,Mixed
214933,8,Very Positive
214931,6,Mostly Positive
214932,8,Very Positive
409710,6,Mostly Positive
218560,4,Mostly Negative
729040,8,Very Positive
250460,6,Mostly Positive
57640,8,Very Positive
33600,8,Very Positive
33610,5,Mixed
225080,8,Very Positive
225260,8,Very Positive
400940,8,Very Positive
42690,0,2 user reviews
21980,8,Very Positive
33420,5,Mixed
234080,6,Mostly Positive
504230,9,Overwhelmingly Positive
204109,0,1 user reviews
256290,8,Very Positive
369150,8,Very Positive
715193,8,Very Positive
944071,6,Mostly Positive
1065491,7,Positive
1196100,6,Mostly Positive
614581,5,Mixed
515190,5,Mixed
1531471,8,Very Positive
715190,8,Very Positive
547500,8,Very Positive
1148020,5,Mixed
1148022,5,Mixed
1531470,6,Mostly Positive
1059820,5,Mixed
1065490,6,Mostly Positive
1148021,6,Mostly Positive
614580,6,Mostly Positive
515191,6,Mostly Positive
1531472,0,8 user reviews
547501,6,Mostly Positive
614582,6,Mostly Positive
420610,5,Mixed
1531473,0,9 user reviews
1146930,5,Mixed
204106,0,2 user reviews
397950,8,Very Positive
228200,8,Very Positive
231430,8,Very Positive
9340,8,Very Positive
20540,8,Very Positive
4720,8,Very Positive
115100,9,Overwhelmingly Positive
10,9,Overwhelmingly Positive
80,8,Very Positive
100,8,Very Positive
17340,5,Mixed
50620,8,Very Positive
462780,8,Very Positive
236430,8,Very Positive
274520,8,Very Positive
30,8,Very Positive
300,8,Very Positive
388210,9,Overwhelmingly Positive
242800,1,Overwhelmingly Negative
211419,0,8 user reviews
204110,0,2 user reviews
222980,8,Very Positive
17470,8,Very Positive
47780,8,Very Positive
520720,6,Mostly Positive
